entry_date,exit_date,direction,entry_price,exit_price,trade_return,holding_days
2015-02-03,2015-02-04,-1,170.0996551513672,169.45193481445312,0.0038078874195111023,1
2015-02-04,2015-02-09,1,169.45193481445312,169.92529296875,0.0027934656208865594,5
2015-02-09,2015-02-10,-1,169.92529296875,171.735595703125,-0.010653521337214533,1
2015-02-10,2015-03-12,1,171.735595703125,171.9763946533203,0.001402149328503688,30
2015-03-12,2015-03-13,-1,171.9763946533203,170.92172241210938,0.00613265700410226,1
2015-03-13,2015-03-16,1,170.92172241210938,173.20541381835938,0.013361036701606599,3
2015-03-16,2015-03-19,-1,173.20541381835938,173.96937561035156,-0.00441072698104783,3
2015-03-19,2015-03-20,1,173.96937561035156,175.5049285888672,0.008826570614099749,1
2015-03-20,2015-03-23,-1,175.5049285888672,175.1629638671875,0.0019484622137351248,3
2015-03-23,2015-03-24,1,175.1629638671875,174.17877197265625,-0.0056187214054992385,1
2015-03-24,2015-04-07,-1,174.17877197265625,172.89418029785156,0.007375133377369059,14
2015-04-07,2015-04-08,1,172.89418029785156,173.47805786132812,0.003377080492071416,1
2015-04-08,2015-04-09,-1,173.47805786132812,174.24549865722656,-0.004423849363773158,1
2015-04-09,2015-04-20,1,174.24549865722656,175.0378875732422,0.004547543105112961,11
2015-04-20,2015-04-23,-1,175.0378875732422,176.13052368164062,-0.006242283448154806,3
2015-04-23,2015-05-08,1,176.13052368164062,176.51422119140625,0.0021784838978800014,15
2015-05-08,2015-05-11,-1,176.51422119140625,175.67181396484375,0.004772460943240464,3
2015-05-11,2015-05-14,1,175.67181396484375,177.00640869140625,0.007597090827727193,3
2015-05-14,2015-05-15,-1,177.00640869140625,177.1981964111328,-0.0010835072082668873,1
2015-05-15,2015-05-27,1,177.1981964111328,177.4150848388672,0.0012239877838888802,12
2015-05-27,2015-05-28,-1,177.4150848388672,177.2149200439453,0.0011282287247652567,1
2015-05-28,2015-06-09,1,177.2149200439453,173.87010192871094,-0.018874359531381057,12
2015-06-09,2015-06-11,-1,173.87010192871094,176.5225372314453,-0.01525526972901825,2
2015-06-11,2015-06-15,1,176.5225372314453,174.420654296875,-0.01190716475944631,4
2015-06-15,2015-06-24,-1,174.420654296875,176.43409729003906,-0.011543604175094258,9
2015-06-24,2015-06-25,1,176.43409729003906,175.89767456054688,-0.003040357491728818,1
2015-06-25,2015-07-08,-1,175.89767456054688,171.43026733398438,0.02539776172552377,13
2015-07-08,2015-07-09,1,171.43026733398438,171.74034118652344,0.001808746246279691,1
2015-07-09,2015-07-14,-1,171.74034118652344,176.58497619628906,-0.02820906827303893,5
2015-07-14,2015-07-22,1,176.58497619628906,177.16329956054688,0.003275042853107424,8
2015-07-22,2015-07-29,-1,177.16329956054688,176.66038513183594,0.0028387054765768305,7
2015-07-29,2015-08-12,1,176.66038513183594,175.10977172851562,-0.008777369086811038,14
2015-08-12,2015-09-23,-1,175.10977172851562,163.11268615722656,0.06851179950076658,42
2015-09-23,2015-09-25,1,163.11268615722656,162.48077392578125,-0.0038740839007225247,2
2015-09-25,2015-10-01,-1,162.48077392578125,161.87416076660156,0.003733445776524791,6
2015-10-01,2015-10-02,1,161.87416076660156,164.29222106933594,0.014937901708851786,1
2015-10-02,2015-10-05,-1,164.29222106933594,167.2157745361328,-0.01779483804995885,3
2015-10-05,2015-11-16,1,167.2157745361328,173.23980712890625,0.03602550422939754,42
2015-11-16,2015-11-17,-1,173.23980712890625,173.11341857910156,0.0007295583613219359,1
2015-11-17,2015-12-03,1,173.11341857910156,173.2313995361328,0.0006815240435988912,16
2015-12-03,2015-12-15,-1,173.2313995361328,172.7427215576172,0.0028209549759695696,12
2015-12-15,2015-12-16,1,172.7427215576172,175.27029418945312,0.014632006541548392,1
2015-12-16,2015-12-17,-1,175.27029418945312,172.5995330810547,0.015237956441789047,1
2015-12-17,2015-12-18,1,172.5995330810547,169.52467346191406,-0.017814993842982352,1
2015-12-18,2016-02-17,-1,169.52467346191406,163.47320556640625,0.03569667926166131,61
2016-02-17,2016-03-01,1,163.47320556640625,167.90585327148438,0.027115438825095373,13
2016-03-01,2016-03-02,-1,167.90585327148438,168.66015625,-0.004492416219082029,1
2016-03-02,2016-05-02,1,168.66015625,177.1716766357422,0.050465507532945875,61
2016-05-02,2016-05-03,-1,177.1716766357422,175.6297149658203,0.00870320639958766,1
2016-05-03,2016-05-05,1,175.6297149658203,174.61590576171875,-0.005772424127083897,2
2016-05-05,2016-05-06,-1,174.61590576171875,175.2548828125,-0.0036593290169866233,1
2016-05-06,2016-05-12,1,175.2548828125,175.970458984375,0.004083059829155022,6
2016-05-12,2016-05-27,-1,175.970458984375,179.10548400878906,-0.017815632478928922,15
