lookback,Total Return,CAGR,Sharpe,Max Drawdown,Trades,Trades (closed)
5,-0.5291441746335807,-0.0654288008270636,-0.3680170582837105,-0.537508892748014,900,473
10,-0.21070148066006233,-0.021032664429048387,-0.05226303369629059,-0.32385783549697245,673,356
20,-0.03327914992534098,-0.0030360472294523877,0.06503330059857879,-0.41312294971346397,445,233
50,0.11688714935951339,0.00998083867895283,0.14376713899700744,-0.31340941346291573,238,122
100,0.2221206630009207,0.01818405665483569,0.19117404113695505,-0.37463987082399874,167,89
200,0.38015181431924283,0.029368725533191586,0.2566128396836085,-0.39391826647715367,101,58
